vehicle_id,vehicle_state,vehicle_status,vehicle_licence,vehicle_type,country,customer_id,customer_name,phone,email,address,customer_licence,employee_id,location_handover,location_return,date_handover,date_return,time_handover,time_return,contract_start,contract_end,state,rate,late_fee,total_price,date_of_creation,id
1,OK,Available,Drivers Licence,Light road,Iceland,1,Benny,5714025,Benny@gmail.com,Wilkinson 4564,Drivers Licence,1,reykjavik,reykjavik,N/A,N/A,N/A,N/A,2020-12-12,2020-12-31,Invalid,100,N/A,N/A,2020-12-11,1
2,OK,Available,Drivers Licence,Light water,Iceland,2,Miguel,5480600,miguel@gmail.com,Hall street 23,Drivers Licence,10,reykjavik,reykjavik,N/A,N/A,N/A,N/A,2021-01-01,2021-01-23,Valid,1500,N/A,N/A,2020-12-11,2
3,OK,Available,Drivers Licence,Medium off-road,Iceland,3,Arnold,7140099,arnold@gov.com,Late Avenue 4,Drivers Licence,1,reykjavik,reykjavik,2020-10-10,N/A,11:57,N/A,2020-10-10,2020-12-15,Valid,300,N/A,N/A,2020-10-10,3
4,OK,Unavailable,Drivers Licence,Medium road,Germany,1,Benny,5714025,Benny@gmail.com,Wilkinson 4564,Drivers Licence,4,cologne,cologne,2020-08-10,2020-09-12,21:17,10:32,2020-08-10,2020-09-10,Completed,275,110.0,8635,2020-08-05,4
5,OK,Available,None,Light road,Germany,1,Benny,5714025,Benny@gmail.com,Wilkinson 4564,Drivers Licence,4,cologne,cologne,2020-01-25,2020-03-03,10:00,12:24,2020-01-25,2020-03-03,Completed,100,0,3800,2020-01-25,5
6,OK,Available,Drivers Licence,Light off-road,South Korea,2,Miguel,5480600,miguel@gmail.com,Hall street 23,Drivers Licence,6,seoul,seoul,2020-10-25,2020-11-01,10:00,11:30,2020-10-25,2020-11-01,Completed,150,0,1050,2020-10-25,6
7,OK,Available,None,Light water,North Korea,3,Arnold,7140099,arnold@gov.com,Late Avenue 4,Drivers Licence,5,pyongyang,seoul,N/A,N/A,N/A,N/A,2020-12-24,2020-12-25,Valid,1500,N/A,N/A,2020-12-11,7
8,OK,Available,None,Medium road,Shetland,9,Gary,9852858,Gary@hotmail.com,Emiliy Drive 8,None,8,tingwall,tingwall,2020-05-22,2020-05-27,11:00,12:00,2020-05-22,2020-05-27,Completed,275,0,1375,2020-05-22,8
9,OK,Available,None,Medium off-road,Svalbard,8,Debra,3796490,Debra@bing.com,Walton st 35,Drivers Licence,9,longyearbyen,longyearbyen,2020-10-10,2020-12-09,10:01,21:22,2020-10-10,2020-11-11,Awaiting Payment,300,1680.0,11280,2020-10-10,9
10,OK,Available,None,Light water,Farao Islands,7,Richard,7225316,Richard@dick.com,Timber Rd 8,None,7,torshavn,torshavn,2020-07-11,2020-07-31,09:08,07:32,2020-07-11,2020-07-25,Completed,1500,1800.0,22800,2020-07-11,10
12,OK,Available,None,Medium off-road,Greenland,5,Maggie,3258024,maggie@smith.co.uk,Hogwarts,Drivers Licence,2,kulusuk,nuuk,2020-10-10,N/A,10:03,N/A,2020-10-10,2020-12-13,Valid,300,N/A,N/A,2020-10-10,11
12,OK,Available,None,Medium off-road,Greenland,6,David,9626591,David@who.com,State Sreet 88,None,3,nuuk,kulusuk,N/A,N/A,N/A,N/A,2020-12-14,2021-02-17,Valid,300,N/A,N/A,2020-12-07,12
