name,ssn,address,postal_code,phone,email,country,licence,id
Amelia,111159-6211,EvelynTown 14,494,978-3821,Noah@nan.is,Greenland,None,1
William,111287-1452,HarperStreet 8,299,891-3397,Oliver@nan.is,Svalbard,None,2
Olivia,111267-4764,MiaTown 0,367,760-7485,Oliver@nan.is,Farao Islands,Drivers licence,3
Evelyn,111271-7384,MasonRoad 10,827,773-2457,James@nan.is,Farao Islands,Drivers licence,4
Elijah,121166-2574,SophiaRoad 7,761,860-3062,Sophia@nan.is,Farao Islands,Drivers licence,5
Oliver,121173-2981,CharlotteRoad 19,876,786-3265,Mason@nan.is,Farao Islands,None,6
Ava,101058-2126,LucasStreet 8,482,677-6292,Sophia@nan.is,Greenland,None,7
Emma,121089-3664,EvelynStreet 20,251,766-5478,Noah@nan.is,Greenland,Drivers licence,8
Olivia,121253-3571,BenjaminStreet 5,293,763-2932,Isabella@nan.is,Farao Islands,None,9
Ethan,101063-6686,SophiaRoad 24,882,686-3084,Ava@nan.is,Shetland,None,10
James,101077-7155,OliviaSquare 20,178,671-5971,Liam@nan.is,Greenland,Drivers licence,11
Elijah,121081-8915,LucasTown 28,147,960-6490,James@nan.is,Svalbard,Drivers licence,12
Ava,111068-8152,EthanStreet 13,486,686-4032,Liam@nan.is,Greenland,None,13
Charlotte,111259-2135,EvelynTown 19,323,975-2883,William@nan.is,Farao Islands,Drivers licence,14
Amelia,121153-1148,MiaStreet 1,998,698-5678,Benjamin@nan.is,Greenland,Drivers licence,15
Evelyn,111079-6679,MiaSquare 1,794,666-8610,William@nan.is,Svalbard,None,16
Evelyn,111051-4190,BenjaminRoad 0,318,974-8834,Amelia@nan.is,Iceland,Drivers licence,17
Isabella,101076-3278,EmmaTown 0,752,797-2601,Emma@nan.is,Svalbard,Drivers licence,18
Noah,101265-6290,LiamRoad 7,821,886-4573,Benjamin@nan.is,Farao Islands,None,19
William,121268-6070,SophiaTown 7,926,888-7054,Mia@nan.is,Iceland,None,20
